date,age,,,,,,,,,
60, 69 ,,,,,,,,,
62, 69 ,,,,,,,,,
64, 70 ,,,,,,,,,
66, 70 ,,,,,,,,,
68, 70 ,,,,,,,,,
70, 70 ,,,,,,,,,
72, 70 ,,,,,,,,,
74, 71 ,,,,,,,,,
76, 72 ,,,,,,,,,
78, 72 ,,,,,,,,,
80, 72 ,,,,,,,,,
82, 73 ,,,,,,,,,
84, 74 ,,,,,,,,,
86, 74 ,,,,,,,,,
88, 75 ,,,,,,,,,
90, 76 ,,,,,,,,,
92, 76 ,,,,,,,,,
94, 76 ,,,,,,,,,
96, 77 ,,,,,,,,,
98, 78 ,,,,,,,,,
00, 78 ,,,,,,,,,
02, 79 ,,,,,,,,,
04, 79 ,,,,,,,,,
06, 80 ,,,,,,,,,
08, 80 ,,,,,,,,,
10, 81 ,,,,,,,,,
12, 81 ,,,,,,,,,
14, 81 ,,,,,,,,,
16, 81 ,,,,,,,,,
